"","date","city","ibgeID","newC","totalC","totalD","lat","lon"
"1",2020-02-25,"São Paulo",3550308,1,1,0,-23.5506507,-46.6333824
"2",2020-02-26,"São Paulo",3550308,0,1,0,-23.5506507,-46.6333824
"3",2020-02-27,"São Paulo",3550308,0,1,0,-23.5506507,-46.6333824
"4",2020-02-28,"São Paulo",3550308,1,2,0,-23.5506507,-46.6333824
"5",2020-02-29,"São Paulo",3550308,0,2,0,-23.5506507,-46.6333824
"6",2020-03-01,"São Paulo",3550308,0,2,0,-23.5506507,-46.6333824
"7",2020-03-02,"São Paulo",3550308,0,2,0,-23.5506507,-46.6333824
"8",2020-03-03,"São Paulo",3550308,0,2,0,-23.5506507,-46.6333824
"9",2020-03-04,"São Paulo",3550308,1,3,0,-23.5506507,-46.6333824
"10",2020-03-05,"Barra Mansa",3300407,1,1,0,-22.5394843,-44.1735129
"11",2020-03-05,"São Paulo",3550308,3,6,0,-23.5506507,-46.6333824
"12",2020-03-06,"Barra Mansa",3300407,0,1,0,-22.5394843,-44.1735129
"13",2020-03-06,"Feira de Santana",2910800,1,1,0,-12.2578934,-38.9598047
"14",2020-03-06,"Rio de Janeiro",3304557,1,1,0,-22.9110137,-43.2093727
"15",2020-03-06,"São Paulo",3550308,0,6,0,-23.5506507,-46.6333824
"16",2020-03-07,"Barra Mansa",3300407,0,1,0,-22.5394843,-44.1735129
"17",2020-03-07,"Brasília",5300108,1,1,0,-15.7934036,-47.8823172
"18",2020-03-07,"Feira de Santana",2910800,1,2,0,-12.2578934,-38.9598047
"19",2020-03-07,"Rio de Janeiro",3304557,0,1,0,-22.9110137,-43.2093727
"20",2020-03-07,"Santana de Parnaíba",3547304,1,1,0,-23.4446715,-46.9167722
"21",2020-03-07,"São Paulo",3550308,6,12,0,-23.5506507,-46.6333824
"22",2020-03-08,"Barra Mansa",3300407,0,1,0,-22.5394843,-44.1735129
"23",2020-03-08,"Brasília",5300108,0,1,0,-15.7934036,-47.8823172
"24",2020-03-08,"Divinópolis",3122306,1,1,0,-20.1434559,-44.89125
"25",2020-03-08,"Feira de Santana",2910800,0,2,0,-12.2578934,-38.9598047
"26",2020-03-08,"Maceió",2704302,1,1,0,-9.6476843,-35.7339264
"27",2020-03-08,"Rio de Janeiro",3304557,1,2,0,-22.9110137,-43.2093727
"28",2020-03-08,"Santana de Parnaíba",3547304,0,1,0,-23.4446715,-46.9167722
"29",2020-03-08,"São Paulo",3550308,3,15,0,-23.5506507,-46.6333824
"30",2020-03-09,"Barra Mansa",3300407,0,1,0,-22.5394843,-44.1735129
"31",2020-03-09,"Brasília",5300108,0,1,0,-15.7934036,-47.8823172
"32",2020-03-09,"Divinópolis",3122306,0,1,0,-20.1434559,-44.89125
"33",2020-03-09,"Feira de Santana",2910800,0,2,0,-12.2578934,-38.9598047
"34",2020-03-09,"Maceió",2704302,0,1,0,-9.6476843,-35.7339264
"35",2020-03-09,"Rio de Janeiro",3304557,0,2,0,-22.9110137,-43.2093727
"36",2020-03-09,"Santana de Parnaíba",3547304,0,1,0,-23.4446715,-46.9167722
