"","date","state","newC","totalC","totalD"
"1",2020-02-25,"SP",1,1,0
"2",2020-02-26,"SP",0,1,0
"3",2020-02-27,"SP",0,1,0
"4",2020-02-28,"SP",1,2,0
"5",2020-02-29,"SP",0,2,0
"6",2020-03-01,"SP",0,2,0
"7",2020-03-02,"SP",0,2,0
"8",2020-03-03,"SP",0,2,0
"9",2020-03-04,"SP",1,3,0
"10",2020-03-05,"RJ",1,1,0
"11",2020-03-05,"SP",3,6,0
"12",2020-03-06,"BA",1,1,0
"13",2020-03-06,"ES",1,1,0
"14",2020-03-06,"RJ",1,2,0
"15",2020-03-06,"SP",4,10,0
"16",2020-03-07,"BA",1,2,0
"17",2020-03-07,"DF",1,1,0
"18",2020-03-07,"ES",0,1,0
"19",2020-03-07,"RJ",0,2,0
"20",2020-03-07,"SP",7,13,0
"21",2020-03-08,"AL",1,1,0
"22",2020-03-08,"BA",0,2,0
"23",2020-03-08,"DF",0,1,0
"24",2020-03-08,"ES",0,1,0
"25",2020-03-08,"MG",1,1,0
"26",2020-03-08,"RJ",1,3,0
"27",2020-03-08,"SP",3,16,0
"28",2020-03-09,"AL",0,1,0
"29",2020-03-09,"BA",0,2,0
"30",2020-03-09,"DF",0,1,0
"31",2020-03-09,"ES",0,1,0
"32",2020-03-09,"MG",0,1,0
"33",2020-03-09,"RJ",0,3,0
"34",2020-03-09,"SP",0,16,0
"35",2020-03-10,"AL",0,1,0
"36",2020-03-10,"BA",0,2,0
"37",2020-03-10,"DF",0,1,0
"38",2020-03-10,"ES",0,1,0
"39",2020-03-10,"MG",0,1,0
"40",2020-03-10,"RJ",5,8,0
"41",2020-03-10,"RS",1,1,0
"42",2020-03-10,"SP",3,19,0
"43",2020-03-11,"AL",0,1,0
"44",2020-03-11,"BA",1,3,0
"45",2020-03-11,"DF",1,2,0
"46",2020-03-11,"ES",0,1,0
"47",2020-03-11,"MG",0,1,0
"48",2020-03-11,"RJ",5,13,0
"49",2020-03-11,"RS",1,2,0
"50",2020-03-11,"SP",11,30,0
"51",2020-03-12,"AL",0,1,0
"52",2020-03-12,"BA",0,3,0
"53",2020-03-12,"DF",0,2,0
"54",2020-03-12,"ES",0,1,0
"55",2020-03-12,"GO",3,3,0
"56",2020-03-12,"MG",1,2,0
"57",2020-03-12,"PE",2,2,0
"58",2020-03-12,"PR",6,6,0
"59",2020-03-12,"RJ",3,16,0
"60",2020-03-12,"RN",1,1,0
"61",2020-03-12,"RS",2,4,0
"62",2020-03-12,"SC",2,2,0
"63",2020-03-12,"SP",16,46,0
"64",2020-03-13,"AL",0,1,0
"65",2020-03-13,"AM",1,1,0
"66",2020-03-13,"BA",4,7,0
"67",2020-03-13,"DF",0,2,0
"68",2020-03-13,"ES",0,1,0
"69",2020-03-13,"GO",0,3,0
"70",2020-03-13,"MG",0,2,0
"71",2020-03-13,"PE",0,2,0
"72",2020-03-13,"PR",0,6,0
"73",2020-03-13,"RJ",0,16,0
"74",2020-03-13,"RN",0,1,0
"75",2020-03-13,"RS",0,4,0
"76",2020-03-13,"SC",1,3,0
"77",2020-03-13,"SP",10,56,0
"78",2020-03-14,"AL",0,1,0
"79",2020-03-14,"AM",0,1,0
"80",2020-03-14,"BA",0,7,0
"81",2020-03-14,"DF",6,8,0
"82",2020-03-14,"ES",0,1,0
"83",2020-03-14,"GO",1,4,0
"84",2020-03-14,"MG",2,4,0
"85",2020-03-14,"MS",2,2,0
"86",2020-03-14,"PE",5,7,0
"87",2020-03-14,"PR",0,6,0
"88",2020-03-14,"RJ",6,22,0
"89",2020-03-14,"RN",0,1,0
"90",2020-03-14,"RS",2,6,0
"91",2020-03-14,"SC",2,5,0
