"","ibgeID","lat","lon"
"1",2600054,-7.900719,-34.898389
"2",2600104,-7.750429,-37.6356375
"3",2600203,-8.5198919,-41.0070197
"4",2600302,-8.4558021,-35.9442663
"5",2600401,-8.7079109,-35.5198586
"6",2600500,-9.1113156,-37.1225218
"7",2600609,-8.50355635,-36.777011743705
"8",2600708,-7.60398,-35.222696
"9",2600807,-8.4904095,-36.0607494
"10",2600906,-8.373925,-35.4536527
"11",2601003,-8.8902038,-36.2872987
"12",2601052,-7.7856903,-35.0898881
"13",2601102,-7.5768582,-40.5038509
"14",2601201,-8.415192,-37.057748
"15",2601300,-8.4173522,-35.6626669
"16",2601409,-8.8159644,-35.1831905
"17",2601508,-8.6242497,-35.8388934
"18",2601607,-8.7517707,-38.9625715
"19",2601706,-8.3338293,-36.4176419
"20",2601805,-8.2742779,-38.0351767
"21",2601904,-8.2372132,-35.7558262
"22",2602001,-7.777592,-39.933797
"23",2602100,-9.169191,-36.685683
"24",2602209,-7.7961572,-35.5871696
"25",2602308,-8.4721161,-35.7314591
"26",2602407,-9.029146,-36.566034
"27",2602506,-7.3482153,-37.28538
"28",2602605,-8.1409718,-36.3712527
"29",2602704,-7.7218931,-35.326587
"30",2602803,-8.6239732,-37.157296
"31",2602902,-8.2838945,-35.0320984
"32",2603009,-8.5083701,-39.3106961
"33",2603108,-8.4906364,-36.2338963
"34",2603207,-8.7728788,-36.6255835
"35",2603306,-8.7413446,-36.3351787
"36",2603405,-7.9389746,-38.1516871
"37",2603454,-8.0213832,-34.9810768
"38",2603504,-8.3616757,-35.7638903
"39",2603603,-7.4092965,-35.2738166
"40",2603702,-8.876519,-36.197935
"41",2603801,-8.7386788,-36.6268109
"42",2603900,-7.805964,-37.7947314
"43",2603926,-8.3192809,-38.7435891
"44",2604007,-7.8459151,-35.2538861
"45",2604106,-8.2829702,-35.9722852
"46",2604155,-7.744698,-35.7250923
"47",2604205,-8.6900588,-35.748470825
"48",2604304,-7.7186318,-39.2363385
"49",2604403,-7.9959409,-35.2134636
"50",2604502,-8.238271,-35.457148
"51",2604601,-7.587868,-35.09994
"52",2604700,-9.1295585,-36.3287438
"53",2604809,-8.4724921,-35.5431197
"54",2604908,-8.0065285,-35.6991651
"55",2605004,-8.6053148,-35.9530366
"56",2605103,-8.0861426,-37.6401873
"57",2605152,-8.441163,-40.766168
"58",2605202,-8.3594071,-35.2232683
"59",2605301,-7.515434,-39.722015
"60",2605400,-7.9481471,-35.3871681
"61",2605459,-3.8561012,-32.4248189
"62",2605509,-7.449667,-35.2426004
"63",2605608,-7.862025,-37.9742806
"64",2605707,-8.5998918,-38.5706775
"65",2605806,-7.9433019,-35.920939
"66",2605905,-8.579803,-35.384573
"67",2606002,-8.8905889,-36.4930896
"68",2606101,-7.999959,-35.2866116
"69",2606200,-7.560603,-34.99591
"70",2606309,-7.7145682,-39.6164505
"71",2606408,-8.1993049,-35.5631137
"72",2606507,-9.0426669,-36.8466803
"73",2606606,-8.5379259,-37.6941375
"74",2606705,-8.5795521,-36.178045
"75",2606804,-7.8354423,-34.9061125
"76",2606903,-7.8363415,-37.5140407
"77",2607000,-8.9011209,-37.8244194
"78",2607109,-7.6773108,-37.4598895
"79",2607208,-8.3980773,-35.0611068
"80",2607307,-7.6535334,-40.1494078
"81",2607406,-8.7266151,-38.6868754
"82",2607505,-8.94675,-37.421188
"83",2607604,-7.747664,-34.830319
"84",2607653,-7.4108509,-35.10967
"85",2607703,-7.377514,-37.1887321
"86",2607752,-7.767983,-34.897136
"87",2607802,-7.6642569,-35.1023615
"88",2607901,-8.1752476,-34.9468716
"89",2607950,-8.7276422,-35.7948925
"90",2608008,-7.9860545,-36.4980118
"91",2608057,-9.1832353,-38.2672047
"92",2608107,-7.8608755,-35.591575
"93",2608206,-8.6233192,-35.5264107
"94",2608255,-8.7065829,-36.4870496
"95",2608305,-8.7114677,-36.417448
"96",2608404,-8.7189103,-36.137365
"97",2608453,-7.843834,-35.310783
"98",2608503,-7.9335596,-35.2919789
"99",2608602,-9.1245839,-36.459656
"100",2608701,-8.6537614,-35.9045124
"101",2608750,-8.9930649,-40.2716452
"102",2608800,-8.657914,-36.329336
"103",2608909,-7.872599,-35.440154
"104",2609006,-7.54122565,-35.4491024779279
"105",2609105,-7.6876999,-35.5126635
"106",2609154,-8.9616166,-37.624648
"107",2609204,-8.7823791,-35.8113151
"108",2609303,-8.1202103,-38.728459
"109",2609402,-8.108706,-35.08354
"110",2609501,-7.7452689,-35.2286396
"111",2609600,-7.9986401,-34.8459552
"112",2609709,-7.74562,-35.6019195
"113",2609808,-8.6147294,-39.6036682
"114",2609907,-7.884432,-40.0833221
"115",2610004,-8.684226,-35.589032
"116",2610103,-9.0030969,-36.3254036
"117",2610202,-8.661211,-36.012539
