"","date","country","state","city","ibgeID","newDeaths","deaths","newCases","totalCases"
"1","2020-02-25","Brazil","SP","São Paulo/SP",3550308,0,0,1,1
"2","2020-02-25","Brazil","TOTAL","TOTAL",0,0,0,1,1
"3","2020-02-26","Brazil","SP","São Paulo/SP",3550308,0,0,0,1
"4","2020-02-26","Brazil","TOTAL","TOTAL",0,0,0,0,1
"5","2020-02-27","Brazil","SP","São Paulo/SP",3550308,0,0,0,1
"6","2020-02-27","Brazil","TOTAL","TOTAL",0,0,0,0,1
"7","2020-02-28","Brazil","SP","São Paulo/SP",3550308,0,0,1,2
"8","2020-02-28","Brazil","TOTAL","TOTAL",0,0,0,1,2
"9","2020-02-29","Brazil","SP","São Paulo/SP",3550308,0,0,0,2
"10","2020-02-29","Brazil","TOTAL","TOTAL",0,0,0,0,2
"11","2020-03-01","Brazil","SP","São Paulo/SP",3550308,0,0,0,2
"12","2020-03-01","Brazil","TOTAL","TOTAL",0,0,0,0,2
"13","2020-03-02","Brazil","SP","São Paulo/SP",3550308,0,0,0,2
"14","2020-03-02","Brazil","TOTAL","TOTAL",0,0,0,0,2
"15","2020-03-03","Brazil","SP","São Paulo/SP",3550308,0,0,0,2
"16","2020-03-03","Brazil","TOTAL","TOTAL",0,0,0,0,2
"17","2020-03-04","Brazil","SP","São Paulo/SP",3550308,0,0,1,3
"18","2020-03-04","Brazil","TOTAL","TOTAL",0,0,0,1,3
"19","2020-03-05","Brazil","RJ","Barra Mansa/RJ",3300407,0,0,1,1
"20","2020-03-05","Brazil","SP","São Paulo/SP",3550308,0,0,3,6
"21","2020-03-05","Brazil","TOTAL","TOTAL",0,0,0,4,7
"22","2020-03-06","Brazil","RJ","Barra Mansa/RJ",3300407,0,0,0,1
"23","2020-03-06","Brazil","BA","Feira de Santana/BA",2910800,0,0,1,1
"24","2020-03-06","Brazil","ES","INDEFINIDA/ES",32,0,0,1,1
"25","2020-03-06","Brazil","SP","INDEFINIDA/SP",35,0,0,4,4
"26","2020-03-06","Brazil","RJ","Rio de Janeiro/RJ",3304557,0,0,1,1
"27","2020-03-06","Brazil","SP","São Paulo/SP",3550308,0,0,0,6
"28","2020-03-06","Brazil","TOTAL","TOTAL",0,0,0,7,14
"29","2020-03-07","Brazil","RJ","Barra Mansa/RJ",3300407,0,0,0,1
"30","2020-03-07","Brazil","DF","Brasília/DF",5300108,0,0,1,1
"31","2020-03-07","Brazil","BA","Feira de Santana/BA",2910800,0,0,1,2
"32","2020-03-07","Brazil","ES","INDEFINIDA/ES",32,0,0,0,1
"33","2020-03-07","Brazil","RJ","Rio de Janeiro/RJ",3304557,0,0,0,1
"34","2020-03-07","Brazil","SP","Santana de Parnaíba/SP",3547304,0,0,1,1
"35","2020-03-07","Brazil","SP","São Paulo/SP",3550308,0,0,6,12
"36","2020-03-07","Brazil","TOTAL","TOTAL",0,0,0,9,19
"37","2020-03-08","Brazil","RJ","Barra Mansa/RJ",3300407,0,0,0,1
"38","2020-03-08","Brazil","DF","Brasília/DF",5300108,0,0,0,1
"39","2020-03-08","Brazil","MG","Divinópolis/MG",3122306,0,0,1,1
"40","2020-03-08","Brazil","BA","Feira de Santana/BA",2910800,0,0,0,2
"41","2020-03-08","Brazil","ES","INDEFINIDA/ES",32,0,0,0,1
"42","2020-03-08","Brazil","AL","Maceió/AL",2704302,0,0,1,1
"43","2020-03-08","Brazil","RJ","Rio de Janeiro/RJ",3304557,0,0,1,2
"44","2020-03-08","Brazil","SP","Santana de Parnaíba/SP",3547304,0,0,0,1
"45","2020-03-08","Brazil","SP","São Paulo/SP",3550308,0,0,3,15
"46","2020-03-08","Brazil","TOTAL","TOTAL",0,0,0,6,25
"47","2020-03-09","Brazil","RJ","Barra Mansa/RJ",3300407,0,0,0,1
"48","2020-03-09","Brazil","DF","Brasília/DF",5300108,0,0,0,1
"49","2020-03-09","Brazil","MG","Divinópolis/MG",3122306,0,0,0,1
"50","2020-03-09","Brazil","BA","Feira de Santana/BA",2910800,0,0,0,2
"51","2020-03-09","Brazil","ES","INDEFINIDA/ES",32,0,0,0,1
"52","2020-03-09","Brazil","AL","Maceió/AL",2704302,0,0,0,1
"53","2020-03-09","Brazil","RJ","Rio de Janeiro/RJ",3304557,0,0,0,2
"54","2020-03-09","Brazil","SP","Santana de Parnaíba/SP",3547304,0,0,0,1
"55","2020-03-09","Brazil","SP","São Paulo/SP",3550308,0,0,0,15
"56","2020-03-09","Brazil","TOTAL","TOTAL",0,0,0,0,25
"57","2020-03-10","Brazil","RJ","Barra Mansa/RJ",3300407,0,0,0,1
"58","2020-03-10","Brazil","DF","Brasília/DF",5300108,0,0,0,1
"59","2020-03-10","Brazil","RS","Campo Bom/RS",4303905,0,0,1,1
"60","2020-03-10","Brazil","MG","Divinópolis/MG",3122306,0,0,0,1
"61","2020-03-10","Brazil","BA","Feira de Santana/BA",2910800,0,0,0,2
"62","2020-03-10","Brazil","ES","INDEFINIDA/ES",32,0,0,0,1
"63","2020-03-10","Brazil","RJ","INDEFINIDA/RJ",33,0,0,5,5
"64","2020-03-10","Brazil","AL","Maceió/AL",2704302,0,0,0,1
"65","2020-03-10","Brazil","RJ","Rio de Janeiro/RJ",3304557,0,0,0,2
"66","2020-03-10","Brazil","SP","Santana de Parnaíba/SP",3547304,0,0,0,1
"67","2020-03-10","Brazil","SP","São Paulo/SP",3550308,0,0,3,18
"68","2020-03-10","Brazil","TOTAL","TOTAL",0,0,0,9,34
"69","2020-03-11","Brazil","RJ","Barra Mansa/RJ",3300407,0,0,0,1
"70","2020-03-11","Brazil","DF","Brasília/DF",5300108,0,0,1,2
"71","2020-03-11","Brazil","RS","Campo Bom/RS",4303905,0,0,0,1
"72","2020-03-11","Brazil","MG","Divinópolis/MG",3122306,0,0,0,1
"73","2020-03-11","Brazil","BA","Feira de Santana/BA",2910800,0,0,1,3
"74","2020-03-11","Brazil","ES","INDEFINIDA/ES",32,0,0,0,1
"75","2020-03-11","Brazil","RJ","INDEFINIDA/RJ",33,0,0,5,10
"76","2020-03-11","Brazil","AL","Maceió/AL",2704302,0,0,0,1
"77","2020-03-11","Brazil","RS","Porto Alegre/RS",4314902,0,0,1,1
"78","2020-03-11","Brazil","RJ","Rio de Janeiro/RJ",3304557,0,0,0,2
"79","2020-03-11","Brazil","SP","Santana de Parnaíba/SP",3547304,0,0,0,1
"80","2020-03-11","Brazil","SP","São Paulo/SP",3550308,0,0,11,29
"81","2020-03-11","Brazil","TOTAL","TOTAL",0,0,0,19,53
"82","2020-03-12","Brazil","RJ","Barra Mansa/RJ",3300407,0,0,0,1
"83","2020-03-12","Brazil","DF","Brasília/DF",5300108,0,0,0,2
"84","2020-03-12","Brazil","RS","Campo Bom/RS",4303905,0,0,0,1
"85","2020-03-12","Brazil","RS","Caxias do Sul/RS",4305108,0,0,1,1
"86","2020-03-12","Brazil","PR","Cianorte/PR",4105508,0,0,1,1
"87","2020-03-12","Brazil","PR","Curitiba/PR",4106902,0,0,5,5
"88","2020-03-12","Brazil","MG","Divinópolis/MG",3122306,0,0,0,1
"89","2020-03-12","Brazil","BA","Feira de Santana/BA",2910800,0,0,0,3
"90","2020-03-12","Brazil","SP","Ferraz de Vasconcelos/SP",3515707,0,0,1,1
"91","2020-03-12","Brazil","SC","Florianópolis/SC",4205407,0,0,2,2
"92","2020-03-12","Brazil","GO","Goiânia/GO",5208707,0,0,2,2
"93","2020-03-12","Brazil","ES","INDEFINIDA/ES",32,0,0,0,1
"94","2020-03-12","Brazil","RJ","INDEFINIDA/RJ",33,0,0,-9,1
"95","2020-03-12","Brazil","MG","Ipatinga/MG",3131307,0,0,1,1
"96","2020-03-12","Brazil","AL","Maceió/AL",2704302,0,0,0,1
"97","2020-03-12","Brazil","RN","Natal/RN",2408102,0,0,1,1
"98","2020-03-12","Brazil","RJ","Niterói/RJ",3303302,0,0,1,1
"99","2020-03-12","Brazil","RS","Porto Alegre/RS",4314902,0,0,1,2
